Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-03-17,1788.2,1838.09,1743.43,1813.99,0
2021-03-18,1814.2,1849.18,1759.78,1781.21,0
2021-03-19,1780.36,1840.36,1735.01,1820.59,0
2021-03-20,1820.38,1868.69,1801.17,1829.58,0
2021-03-21,1828.41,1828.41,1749.08,1787.01,0
2021-03-22,1786.34,1807.03,1657.9,1692.9,0
2021-03-23,1694.7,1721.51,1652.62,1665.17,0
2021-03-24,1665.55,1739.82,1548.06,1589.23,0
2021-03-25,1587.95,1621.37,1549.27,1583.98,0
2021-03-26,1583.8,1695.1,1583.61,1683.8,0
2021-03-27,1683.68,1732.23,1667.4,1724.43,0
2021-03-28,1724.48,1727.16,1662.41,1674.16,0
2021-03-29,1674.05,1840.61,1671.37,1808.21,0
2021-03-30,1808.24,1859.42,1787.19,1844.98,0
2021-03-31,1845.03,1947.24,1775.17,1930.98,0
2021-04-01,1930.41,1981.83,1891.66,1963.48,0
2021-04-02,1963.16,2103.29,1949.84,2091.8,0
2021-04-03,2091.84,2143.77,2003.55,2034.22,0
2021-04-04,2034.42,2092.2,1982.88,2077,0
2021-04-05,2076.79,2129.09,2004.61,2106.83,0
2021-04-06,2108.38,2150.66,2047.15,2114.64,0
2021-04-07,2113.06,2128.4,1933.5,1996.36,0
2021-04-08,1996.68,2077.21,1950.94,2049.58,0
2021-04-09,2050.43,2099.95,2046.3,2074.63,0
2021-04-10,2074.62,2195.1,2056.55,2114.9,0
2021-04-11,2114.95,2163.48,2109.32,2133.57,0
2021-04-12,2134.35,2200.01,2102.91,2146.95,0
2021-04-13,2146.78,2313.4,2136.3,2281.35,0
2021-04-14,2281.35,2430.19,2268.7,2425.62,0
2021-04-15,2425.24,2502.77,2402.39,2502.52,0
2021-04-16,2502.31,2547.26,2309.45,2454.19,0
2021-04-17,2451.54,2496.46,2317.46,2391.32,0
2021-04-18,2391.31,2395.34,1981.51,2221.21,0
2021-04-19,2221.73,2280.97,2075.43,2205.08,0
2021-04-20,2205.27,2345.22,2056.12,2341.33,0
2021-04-21,2342.75,2468.33,2238.61,2376.12,0
2021-04-22,2376.27,2643.15,2311.68,2416.81,0
2021-04-23,2415.35,2449.27,2110.99,2314.25,0
2021-04-24,2310.81,2371.28,2160.91,2284.78,0
2021-04-25,2287.47,2356.54,2168.02,2219.61,0
2021-04-26,2215.56,2531.87,2211.35,2494.53,0
2021-04-27,2496.59,2679.94,2480.04,2646.38,0
2021-04-28,2646.93,2761.44,2560.75,2758.55,0
2021-04-29,2757.96,2799.54,2672.04,2740.39,0
2021-04-30,2740.8,2799.37,2728.16,2758.5,0
2021-05-01,2757.2,2953.14,2741.47,2921.26,0
2021-05-02,2922.45,2985.03,2858.56,2975.27,0
2021-05-03,2975.63,3339.39,2933.06,3330.91,0
2021-05-04,3333.19,3530.06,3188.05,3338.92,0
2021-05-05,3336.25,3488.02,3214.21,3430.5,0
2021-05-06,3430.27,3607.07,3383.89,3519.15,0
2021-05-07,3520.06,3591.08,3362.11,3479.8,0
2021-05-08,3479.56,3903.49,3432.42,3903.49,0
2021-05-09,3903.74,3982.27,3732.34,3907.37,0
2021-05-10,3907.4,4208.23,3744.03,4023.18,0
2021-05-11,4020.55,4155.98,3780.03,4127.99,0
2021-05-12,4129.73,4378.06,3938.54,4126.77,0
2021-05-13,4127.68,4242.67,3551.1,3757.06,0
2021-05-14,3756.1,4175.53,3617.56,4055.24,0
2021-05-15,4055.68,4132.78,3657.76,3811.03,0
2021-05-16,3810.6,3878.5,3352.12,3478.87,0
2021-05-17,3477.3,3590.67,3122.78,3266.54,0
2021-05-18,3262.15,3564.31,3197.04,3402.13,0
2021-05-19,3403.37,3439.79,1952.81,2597.2,0
2021-05-20,2592.16,2995.61,2165.76,2836.19,0
2021-05-21,2840.4,2939.22,2109.43,2390.66,0
2021-05-22,2396.9,2485.34,2159.32,2368.15,0
2021-05-23,2366.08,2383.52,1738.89,2096.89,0
2021-05-24,2098.94,2671.67,2051.11,2603.85,0
2021-05-25,2597.97,2752.13,2389.86,2615.92,0
2021-05-26,2615.8,2911.71,2610.84,2817.42,0
2021-05-27,2817.31,2888.95,2641.97,2784.08,0
2021-05-28,2782.18,2793.59,2336.23,2371.64,0
2021-05-29,2371.13,2567.99,2209.38,2278.33,0
2021-05-30,2279.73,2474.03,2185.56,2423.62,0
2021-05-31,2421.46,2677.5,2277.6,2630.43,0
2021-06-01,2628.17,2739.66,2529.51,2594.63,0
2021-06-02,2597.34,2799.89,2553.68,2721.36,0
2021-06-03,2721.05,2889.62,2667.11,2819.25,0
2021-06-04,2818.33,2871.82,2555.5,2732.5,0
2021-06-05,2734.01,2815.83,2556.39,2565.01,0
2021-06-06,2566.36,2744.91,2561.13,2715.77,0
2021-06-07,2715.46,2846.46,2579.43,2613.25,0
2021-06-08,2613.56,2644.4,2313.04,2522.05,0
2021-06-09,2520.93,2624.92,2410.9,2582.9,0
2021-06-10,2583.4,2623.71,2430.57,2480.42,0
2021-06-11,2484.58,2496.56,2333.68,2344.01,0
